Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Nickel concentration / weight %,Chromium concentration / weight %,Molybdenum concentration / weight %,Vanadium concentration / weight %,Copper concentration / weight %,Cobalt concentration / weight %,Tungsten concentration / weight %,Oxygen concentration / parts per million by weight,Titanium concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Aluminium concentration / parts per million by weight,Boron concentration / parts per million by weight,Niobium concentration / parts per million by weight,Tin concentration / parts per million by weight,Arsenic concentration / parts per million by weight,Antimony concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Heat input / kJ mm^{-1},Interpass temperature,Post weld heat treatment temperature,Post weld heat treatment time / hours,Charpy temperature,Charpy impact toughness / J,Electrode Positive,Electrode Negative,Type of weld_FCA,Type of weld_GMAA,Type of weld_GTAA,Type of weld_MMA,Type of weld_NGGMA,Type of weld_NGSAW,Type of weld_SA,Type of weld_SAA,Type of weld_TSA,Group_Alekseev&,Group_Birmingham,Group_Blond&,Group_Chandel&,Group_Cunh,Group_Ditt,Group_EPRI,Group_Es,Group_EvHtIp1979,Group_Evans,Group_EvansLetter,Group_Ga&K,Group_Gar&K,Group_Hunt&,Group_Icici&,Group_Inag&,Group_JorgeEtAl,Group_Kik,Group_Kluket,Group_KocakPEv,Group_KocakPREv,Group_Mart,Group_Natsume,Group_PakSven,Group_PantK,Group_Pat,Group_RC81033,Group_RaiterGonzal,Group_Stil,Group_SurianEtAl,Group_SvenGret,Group_Sw&Rog,Group_Wats,Group_p-RR82011
0.074,0.29,1.49,0.006,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,471.0,5.0,72,6.0,0,0,0.0,0.0,0.0,170.0,21.0,1.0,1.0,200.0,0.0,0.0,-41.0,28.0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.074,0.29,1.49,0.006,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,471.0,5.0,72,6.0,0,0,0.0,0.0,0.0,170.0,21.0,1.0,1.0,200.0,0.0,0.0,-19.0,100.0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.081,0.29,1.43,0.006,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.0,5.0,54,60.0,0,0,0.0,0.0,0.0,170.0,21.0,1.0,1.0,200.0,0.0,0.0,-39.0,28.0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.081,0.29,1.43,0.006,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.0,5.0,54,60.0,0,0,0.0,0.0,0.0,170.0,21.0,1.0,1.0,200.0,0.0,0.0,-15.0,100.0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.076,0.34,1.36,0.005,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476.0,5.0,57,150.0,0,0,0.0,0.0,0.0,170.0,21.0,1.0,1.0,200.0,0.0,0.0,-58.0,28.0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.076,0.34,1.36,0.005,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476.0,5.0,57,150.0,0,0,0.0,0.0,0.0,170.0,21.0,1.0,1.0,200.0,0.0,0.0,-20.0,100.0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.079,0.39,1.37,0.005,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446.0,5.0,47,250.0,0,0,0.0,0.0,0.0,170.0,21.0,1.0,1.0,200.0,0.0,0.0,-56.0,28.0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.079,0.39,1.37,0.005,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446.0,5.0,47,250.0,0,0,0.0,0.0,0.0,170.0,21.0,1.0,1.0,200.0,0.0,0.0,-25.0,100.0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.078,0.44,1.4,0.004,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0,5.0,44,420.0,0,0,0.0,0.0,0.0,170.0,21.0,1.0,1.0,200.0,0.0,0.0,-62.0,28.0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.078,0.44,1.4,0.004,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0,5.0,44,420.0,0,0,0.0,0.0,0.0,170.0,21.0,1.0,1.0,200.0,0.0,0.0,-30.0,100.0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.081,0.48,1.42,0.004,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.0,4.0,46,660.0,0,0,0.0,0.0,0.0,170.0,21.0,1.0,1.0,200.0,0.0,0.0,-76.0,28.0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.081,0.48,1.42,0.004,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.0,4.0,46,660.0,0,0,0.0,0.0,0.0,170.0,21.0,1.0,1.0,200.0,0.0,0.0,-29.0,100.0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.069,0.3,1.36,0.007,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,37.0,68,5.0,0,0,0.0,0.0,0.0,170.0,21.0,1.0,1.0,200.0,0.0,0.0,-99.0,28.0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.069,0.3,1.36,0.007,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,37.0,68,5.0,0,0,0.0,0.0,0.0,170.0,21.0,1.0,1.0,200.0,0.0,0.0,-72.0,100.0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08,0.33,1.41,0.006,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,43.0,55,78.0,0,0,0.0,0.0,0.0,170.0,21.0,1.0,1.0,200.0,0.0,0.0,-77.0,28.0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08,0.33,1.41,0.006,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,43.0,55,78.0,0,0,0.0,0.0,0.0,170.0,21.0,1.0,1.0,200.0,0.0,0.0,-55.0,100.0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.076,0.37,1.36,0.005,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422.0,36.0,53,190.0,0,0,0.0,0.0,0.0,170.0,21.0,1.0,1.0,200.0,0.0,0.0,-86.0,28.0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.076,0.37,1.36,0.005,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422.0,36.0,53,190.0,0,0,0.0,0.0,0.0,170.0,21.0,1.0,1.0,200.0,0.0,0.0,-58.0,100.0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
