,Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Nickel concentration / weight %,Chromium concentration / weight %,Molybdenum concentration / weight %,Vanadium concentration / weight %,Copper concentration / weight %,Oxygen concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Niobium concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Yield strength / MPa,Weld ID,Electrode Positive,Electrode Negative
48,0.094,0.18,1.05,0.013,0.017,0.1,0.05,0.01,0.01,0.11,511.0,100.0,100.0,550.0,28.0,1.0,3.6,100,SA,0.0,0.0,380.0,Wats-1981-AW5,1,0
49,0.094,0.16,1.01,0.018,0.026,0.13,0.05,0.01,0.01,0.11,569.0,102.0,100.0,550.0,28.0,1.0,3.6,100,SA,0.0,0.0,402.0,Wats-1981-BW5,1,0
50,0.09,0.15,1.18,0.012,0.018,0.13,0.08,0.03,0.01,0.14,621.0,131.0,200.0,550.0,28.0,1.0,3.6,100,SA,0.0,0.0,427.0,Wats-1981-CW5,1,0
51,0.072,0.11,0.85,0.015,0.017,0.14,0.07,0.01,0.01,0.14,543.0,119.0,100.0,550.0,28.0,1.0,3.6,100,SA,0.0,0.0,436.0,Wats-1981-DW5,1,0
52,0.081,0.16,0.97,0.021,0.024,0.15,0.07,0.02,0.01,0.19,584.0,95.0,200.0,550.0,28.0,1.0,3.6,100,SA,0.0,0.0,451.0,Wats-1981-EW5,1,0
53,0.076,0.19,1.16,0.02,0.02,0.17,0.07,0.02,0.02,0.17,609.0,131.0,200.0,550.0,28.0,1.0,3.6,100,SA,0.0,0.0,441.0,Wats-1981-FW5,1,0
54,0.125,0.26,1.34,0.012,0.013,0.07,0.05,0.003,0.005,0.14989898989898992,253.0,89.0,180.0,850.0,35.0,1.0,7.9,300,SA,0.0,0.0,505.0,Stil-TiB-1978-1.5Mn/OP41TT,1,0
55,0.13,0.3,1.4,0.01,0.012,0.07,0.06,0.005,0.002,0.14989898989898992,430.0,95.0,180.0,850.0,35.0,1.0,7.9,300,SA,0.0,0.0,530.0,Stil-TiB-1978-1.5Mn/BX200,1,0
56,0.11,0.26,1.3,0.013,0.017,0.06,0.04,0.003,0.005,0.14989898989898992,236.0,83.0,180.0,850.0,35.0,1.0,7.9,300,SA,0.0,0.0,460.0,Stil-TiB-1978-1.5Mn/OP121TT,1,0
57,0.105,0.28,1.46,0.013,0.015,0.08,0.02,0.005,0.002,0.14989898989898992,357.0,92.0,160.0,850.0,35.0,1.0,7.9,300,SA,0.0,0.0,471.0,Stil-TiB-1978-1.5Mn/OP122,1,0
58,0.115,0.22,1.3,0.012,0.016,0.13,0.05,0.005,0.06596028037383178,0.14989898989898992,255.0,99.0,160.0,850.0,35.0,1.0,7.9,300,SA,0.0,0.0,473.0,Stil-TiB-1978-1.5Mn/OP41TT,1,0
59,0.115,0.26,1.5,0.01,0.014,0.06,0.05,0.009,0.005,0.14989898989898992,455.0,100.0,170.0,850.0,35.0,1.0,7.9,300,SA,0.0,0.0,465.0,Stil-TiB-1978-1.5Mn/BX200,1,0
60,0.115,0.25,1.35,0.012,0.01,0.08,0.02,0.009,0.003,0.14989898989898992,260.0,94.0,170.0,850.0,35.0,1.0,7.9,300,SA,0.0,0.0,465.0,Stil-TiB-1978-1.5Mn/OP121TT,1,0
61,0.105,0.3,1.5,0.018,0.011,0.08,0.03,0.011,0.0005,0.14989898989898992,370.0,95.0,150.0,850.0,35.0,1.0,7.9,300,SA,0.0,0.0,423.0,Stil-TiB-1978-1.5Mn/OP122,1,0
62,0.1055,0.23,1.21,0.012,0.012,0.07,0.03,0.17,0.002,0.14989898989898992,218.0,101.0,117.0048309178744,850.0,35.0,1.0,7.9,300,SA,0.0,0.0,504.0,Stil-TiB-1978-TiBMo/OP41TT,1,0
63,0.105,0.24,1.39,0.012,0.012,0.07,0.03,0.15,0.003,0.14989898989898992,411.0,103.0,190.0,850.0,35.0,1.0,7.9,300,SA,0.0,0.0,496.0,Stil-TiB-1978-1978-TiBMo/BX200,1,0
64,0.12,0.26,1.33,0.012,0.017,0.06,0.03,0.12,0.002,0.14989898989898992,255.0,96.0,117.0048309178744,850.0,35.0,1.0,7.9,300,SA,0.0,0.0,508.0,Stil-TiB-1978-1978-TiBMo/OP121TT,1,0
65,0.105,0.26,1.32,0.021,0.014,0.06,0.03,0.125,0.002,0.14989898989898992,362.0,101.0,180.0,850.0,35.0,1.0,7.9,300,SA,0.0,0.0,549.0,Stil-TiB-1978-TiBMo/OP122,1,0
66,0.12,0.25,1.26,0.01,0.013,0.06,0.03,0.145,0.002,0.14989898989898992,262.0,119.0,160.0,850.0,35.0,1.0,7.9,300,SA,0.0,0.0,529.0,Stil-TiB-1978-TiBMo/OP41TT,1,0
67,0.1,0.26,1.38,0.01,0.011,0.07,0.03,0.14,0.002,0.14989898989898992,416.0,116.0,100.0,850.0,35.0,1.0,7.9,300,SA,0.0,0.0,460.0,Stil-TiB-1978-TiBMo/BX200,1,0
68,0.11,0.25,1.28,0.01,0.012,0.07,0.03,0.15,0.003,0.14989898989898992,253.0,107.0,180.0,850.0,35.0,1.0,7.9,300,SA,0.0,0.0,533.0,Stil-TiB-1978-TiBMo/OP121TT,1,0
69,0.09,0.21,1.39,0.013,0.01,0.06,0.03,0.185,0.001,0.14989898989898992,340.0,108.0,190.0,850.0,35.0,1.0,7.9,300,SA,0.0,0.0,479.0,Stil-TiB-1978-TiBMo/OP122,1,0
70,0.12,0.29,1.46,0.025,0.028,0.056,0.056,0.005,0.12,0.09,372.6577540106952,88.8457711442786,40.0,650.0,33.0,1.0,3.3,300,SA,0.0,0.0,570.0,Gar&K-1975-25mm-1aw,1,0
71,0.12,0.29,1.46,0.025,0.028,0.056,0.056,0.005,0.12,0.09,372.6577540106952,88.8457711442786,40.0,650.0,33.0,1.0,3.3,300,SA,315.5241935483871,3.5753225806451616,605.0,Gar&K-1975-25mm-1ht,1,0
72,0.11,0.45,1.67,0.014,0.02,0.042,0.04,0.005,0.096,0.11,372.6577540106952,88.8457711442786,50.0,650.0,33.0,1.0,3.3,300,SA,0.0,0.0,600.0,Gar&K-1975-25mm-2aw,1,0
73,0.11,0.45,1.67,0.014,0.02,0.042,0.04,0.005,0.096,0.11,372.6577540106952,88.8457711442786,50.0,650.0,33.0,1.0,3.3,300,SA,315.5241935483871,3.5753225806451616,665.0,Gar&K-1975-25mm-2ht,1,0
74,0.15,0.3,1.57,0.026,0.028,0.07,0.059,0.11,0.122,0.093,372.6577540106952,88.8457711442786,60.0,650.0,33.0,1.0,3.3,300,SA,0.0,0.0,661.0,Gar&K-1975-25mm-3aw,1,0
75,0.15,0.3,1.57,0.026,0.028,0.07,0.059,0.11,0.122,0.093,372.6577540106952,88.8457711442786,60.0,650.0,33.0,1.0,3.3,300,SA,315.5241935483871,3.5753225806451616,715.0,Gar&K-1975-25mm-3ht,1,0
76,0.14,0.33,1.67,0.02,0.026,0.07,0.066,0.188,0.098,0.01,372.6577540106952,88.8457711442786,80.0,650.0,33.0,1.0,3.3,300,SA,0.0,0.0,690.0,Gar&K-1975-25mm-4aw,1,0
77,0.14,0.33,1.67,0.02,0.026,0.07,0.066,0.188,0.098,0.01,372.6577540106952,88.8457711442786,80.0,650.0,33.0,1.0,3.3,300,SA,315.5241935483871,3.5753225806451616,784.0,Gar&K-1975-25mm-4ht,1,0
78,0.13,0.3,1.38,0.014,0.028,0.058,0.06,0.005,0.095,0.08,372.6577540106952,88.8457711442786,50.0,850.0,38.0,1.0,7.6,300,SA,0.0,0.0,530.0,Gar&K-1975-25mm-5aw,1,0
79,0.13,0.3,1.38,0.014,0.028,0.058,0.06,0.005,0.095,0.08,372.6577540106952,88.8457711442786,50.0,850.0,38.0,1.0,7.6,300,SA,315.5241935483871,3.5753225806451616,588.0,Gar&K-1975-25mm-5ht,1,0
80,0.12,0.34,1.67,0.024,0.03,0.053,0.06,0.005,0.115,0.06,372.6577540106952,88.8457711442786,50.0,850.0,38.0,1.0,7.6,300,SA,0.0,0.0,521.0,Gar&K-1975-25mm-6aw,1,0
81,0.12,0.34,1.67,0.024,0.03,0.053,0.06,0.005,0.115,0.06,372.6577540106952,88.8457711442786,50.0,850.0,38.0,1.0,7.6,300,SA,315.5241935483871,3.5753225806451616,604.0,Gar&K-1975-25mm-6ht,1,0
82,0.13,0.27,1.46,0.011,0.026,0.068,0.062,0.26,0.103,0.105,372.6577540106952,88.8457711442786,50.0,850.0,38.0,1.0,7.6,300,SA,0.0,0.0,641.0,Gar&K-1975-25mm-7aw,1,0
83,0.13,0.27,1.46,0.011,0.026,0.068,0.062,0.26,0.103,0.105,372.6577540106952,88.8457711442786,50.0,850.0,38.0,1.0,7.6,300,SA,315.5241935483871,3.5753225806451616,720.0,Gar&K-1975-25mm-7ht,1,0
