,Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Nickel concentration / weight %,Chromium concentration / weight %,Molybdenum concentration / weight %,Vanadium concentration / weight %,Copper concentration / weight %,Cobalt concentration / weight %,Tungsten concentration / weight %,Oxygen concentration / parts per million by weight,Titanium concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Aluminium concentration / parts per million by weight,Boron concentration / parts per million by weight,Niobium concentration / parts per million by weight,Tin concentration / parts per million by weight,Arsenic concentration / parts per million by weight,Antimony concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Electrode positive or negative,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Yield strength / MPa,Ultimate tensile strength / MPa,Elongation / %,Reduction of Area / %,Charpy temperature / °C,Charpy impact toughness / J,Hardness / kg mm^{-2},50% FATT,Weld ID,Nitrogen residual concentration,Hardness scale
1019,0.096,0.13,0.73,0.018,0.022,,,0.43,0.01,0.14,,,373.0,,81.0,,,,,,,625.0,72.24,DC,+,4.4,200,TSA,0.0,0.0,,,,,0.0,135.0,,,Pat-1981-S2Mo/BX400,,
1020,0.12,0.27,1.46,0.014,0.026,,,0.48,0.01,0.3,,,365.0,,77.0,,,,,,,625.0,72.24,DC,+,4.4,200,TSA,0.0,0.0,689.0,689.0,34.0,69.0,,,203.0,,Pat-1981-S4Mo/BX400,,30.0
1021,0.12,0.27,1.46,0.014,0.026,,,0.48,0.01,0.3,,,365.0,,77.0,,,,,,,625.0,72.24,DC,+,4.4,200,TSA,0.0,0.0,,,,,-60.0,41.0,,,Pat-1981-S4Mo/BX400,,
1022,0.12,0.27,1.46,0.014,0.026,,,0.48,0.01,0.3,,,365.0,,77.0,,,,,,,625.0,72.24,DC,+,4.4,200,TSA,0.0,0.0,,,,,-20.0,78.0,,,Pat-1981-S4Mo/BX400,,
1023,0.12,0.27,1.46,0.014,0.026,,,0.48,0.01,0.3,,,365.0,,77.0,,,,,,,625.0,72.24,DC,+,4.4,200,TSA,0.0,0.0,,,,,0.0,113.0,,,Pat-1981-S4Mo/BX400,,
1303,0.11,0.18,0.7,,,0.13,2.28,0.27,,,,,,,62.0,,,200.0,,,,535.0,63.0,AC,0,1.8,225,TSA,690.0,24.0,606.0,707.0,22.0,63.0,,,,,Natsume-1990-hl,,
1304,0.1,0.17,0.67,,,0.14,2.31,0.29,,,,,,,240.0,,,240.0,,,,535.0,63.0,AC,0,1.8,225,TSA,690.0,24.0,596.0,703.0,20.0,62.0,,,,,Natsume-1990-hh,,
1305,0.11,0.17,0.65,,,0.02,2.28,0.27,,,,,,,68.0,,,68.0,,,,535.0,63.0,AC,0,1.8,225,TSA,690.0,24.0,597.0,700.0,22.0,58.0,,,,,Natsume-1990-ll,,
1306,0.1,0.16,0.61,,,0.02,2.27,0.27,,,,,,,260.0,,,260.0,,,,535.0,63.0,AC,0,1.8,225,TSA,690.0,24.0,608.0,702.0,21.0,60.0,,,,,Natsume-1990-lh,,
1377,0.055,0.37,0.82,0.021,0.008,0.086,2.5,0.99,0.01,0.51,,,694.0,50.0,160.0,130.0,,,50.0,50.0,9.0,,,DC,+,3.6,177,TSA,0.0,0.0,740.0,901.0,15.0,41.8,,,,,Sw&Rog-1973a,,
1378,0.055,0.37,0.82,0.021,0.008,0.086,2.5,0.99,0.01,0.51,,,694.0,50.0,160.0,130.0,,,50.0,50.0,9.0,,,DC,+,3.6,177,TSA,482.0,4.5,776.0,909.0,16.8,43.0,,,,,Sw&Rog-1973b,,
1379,0.055,0.37,0.82,0.021,0.008,0.086,2.5,0.99,0.01,0.51,,,694.0,50.0,160.0,130.0,,,50.0,50.0,9.0,,,DC,+,3.6,177,TSA,593.0,4.5,719.0,811.0,16.0,44.6,,,,,Sw&Rog-1973c,,
1380,0.055,0.37,0.82,0.021,0.008,0.086,2.5,0.99,0.01,0.51,,,694.0,50.0,160.0,130.0,,,50.0,50.0,9.0,,,DC,+,3.6,177,TSA,704.0,4.5,457.0,569.0,25.8,67.0,,,,,Sw&Rog-1973d,,
