,Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Nickel concentration / weight %,Chromium concentration / weight %,Molybdenum concentration / weight %,Vanadium concentration / weight %,Oxygen concentration / parts per million by weight,Titanium concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Aluminium concentration / parts per million by weight,Boron concentration / parts per million by weight,Niobium concentration / parts per million by weight,Tin concentration / parts per million by weight,Arsenic concentration / parts per million by weight,Antimony concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Electrode positive or negative,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Yield strength / MPa,Ultimate tensile strength / MPa,Elongation / %,Reduction of Area / %,Charpy temperature / °C,Charpy impact toughness / J,Weld ID
37,0.048,0.13,1.06,0.014,0.016,0.23,2.02,1.3,0.02,768.0,212.35294117647058,266.0,164.7058823529412,7.470588235294118,45.294117647058826,0.008,0.03,0.008,300.0,28.0,DC,+,1.96,150,FCA,690.0,10.0,535.1428571428571,565.5833333333334,19.428571428571427,55.0,60.0,164.0,Mart-Bh
38,0.043,0.12,0.86,0.011,0.017,0.2,2.01,0.93,0.02,922.0,212.35294117647058,123.0,164.7058823529412,7.470588235294118,45.294117647058826,0.008,0.008,0.008,300.0,20.0,DC,+,2.08,150,FCA,690.0,10.0,505.0,600.0,19.0,69.0,-5.873015873015873,66.66666666666667,Mart-C
39,0.043,0.12,0.86,0.011,0.017,0.2,2.01,0.93,0.02,922.0,212.35294117647058,123.0,164.7058823529412,7.470588235294118,45.294117647058826,0.008,0.008,0.008,300.0,20.0,DC,+,2.08,150,FCA,690.0,10.0,535.1428571428571,565.5833333333334,19.428571428571427,55.0,-70.0,3.0,Mart-Ca
40,0.043,0.12,0.86,0.011,0.017,0.2,2.01,0.93,0.02,922.0,212.35294117647058,123.0,164.7058823529412,7.470588235294118,45.294117647058826,0.008,0.008,0.008,300.0,20.0,DC,+,2.08,150,FCA,690.0,10.0,535.1428571428571,565.5833333333334,19.428571428571427,55.0,-60.0,3.0,Mart-Cb
41,0.043,0.12,0.86,0.011,0.017,0.2,2.01,0.93,0.02,922.0,212.35294117647058,123.0,164.7058823529412,7.470588235294118,45.294117647058826,0.008,0.008,0.008,300.0,20.0,DC,+,2.08,150,FCA,690.0,10.0,535.1428571428571,565.5833333333334,19.428571428571427,55.0,-20.0,9.0,Mart-Cc
42,0.043,0.12,0.86,0.011,0.017,0.2,2.01,0.93,0.02,922.0,212.35294117647058,123.0,164.7058823529412,7.470588235294118,45.294117647058826,0.008,0.008,0.008,300.0,20.0,DC,+,2.08,150,FCA,690.0,10.0,535.1428571428571,565.5833333333334,19.428571428571427,55.0,0.0,12.0,Mart-Cd
43,0.043,0.12,0.86,0.011,0.017,0.2,2.01,0.93,0.02,922.0,212.35294117647058,123.0,164.7058823529412,7.470588235294118,45.294117647058826,0.008,0.008,0.008,300.0,20.0,DC,+,2.08,150,FCA,690.0,10.0,535.1428571428571,565.5833333333334,19.428571428571427,55.0,10.0,43.0,Mart-Ce
44,0.043,0.12,0.86,0.011,0.017,0.2,2.01,0.93,0.02,922.0,212.35294117647058,123.0,164.7058823529412,7.470588235294118,45.294117647058826,0.008,0.008,0.008,300.0,20.0,DC,+,2.08,150,FCA,690.0,10.0,535.1428571428571,565.5833333333334,19.428571428571427,55.0,20.0,65.0,Mart-Cf
45,0.043,0.12,0.86,0.011,0.017,0.2,2.01,0.93,0.02,922.0,212.35294117647058,123.0,164.7058823529412,7.470588235294118,45.294117647058826,0.008,0.008,0.008,300.0,20.0,DC,+,2.08,150,FCA,690.0,10.0,535.1428571428571,565.5833333333334,19.428571428571427,55.0,30.0,65.0,Mart-Cg
46,0.042,0.14,1.33,0.012,0.015,0.26,2.39,1.21,0.015,735.0,212.35294117647058,236.0,164.7058823529412,7.470588235294118,45.294117647058826,0.008,0.016,0.008,300.0,28.0,DC,+,1.96,150,FCA,690.0,10.0,520.0,620.0,20.0,54.0,-5.873015873015873,66.66666666666667,Mart-D
47,0.042,0.14,1.33,0.012,0.015,0.26,2.39,1.21,0.015,735.0,212.35294117647058,236.0,164.7058823529412,7.470588235294118,45.294117647058826,0.008,0.016,0.008,300.0,28.0,DC,+,1.96,150,FCA,690.0,10.0,535.1428571428571,565.5833333333334,19.428571428571427,55.0,-80.0,6.0,Mart-Da
48,0.042,0.14,1.33,0.012,0.015,0.26,2.39,1.21,0.015,735.0,212.35294117647058,236.0,164.7058823529412,7.470588235294118,45.294117647058826,0.008,0.016,0.008,300.0,28.0,DC,+,1.96,150,FCA,690.0,10.0,535.1428571428571,565.5833333333334,19.428571428571427,55.0,-70.0,6.0,Mart-Db
49,0.042,0.14,1.33,0.012,0.015,0.26,2.39,1.21,0.015,735.0,212.35294117647058,236.0,164.7058823529412,7.470588235294118,45.294117647058826,0.008,0.016,0.008,300.0,28.0,DC,+,1.96,150,FCA,690.0,10.0,535.1428571428571,565.5833333333334,19.428571428571427,55.0,-60.0,12.0,Mart-Dc
50,0.042,0.14,1.33,0.012,0.015,0.26,2.39,1.21,0.015,735.0,212.35294117647058,236.0,164.7058823529412,7.470588235294118,45.294117647058826,0.008,0.016,0.008,300.0,28.0,DC,+,1.96,150,FCA,690.0,10.0,535.1428571428571,565.5833333333334,19.428571428571427,55.0,-40.0,49.0,Mart-Dd
