,Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Nickel concentration / weight %,Chromium concentration / weight %,Molybdenum concentration / weight %,Vanadium concentration / weight %,Oxygen concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Tin concentration / parts per million by weight,Arsenic concentration / parts per million by weight,Antimony concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Yield strength / MPa,Ultimate tensile strength / MPa,Elongation / %,Reduction of Area / %,Charpy temperature / °C,Charpy impact toughness / J,Weld ID,Electrode Positive,Electrode Negative,Group
30,0.042,0.14,1.33,0.012,0.015,0.26,2.39,1.21,0.015,735.0,236.0,0.008,0.016,0.008,300.0,28.0,1.0,1.96,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,-80.0,6.0,Mart-Da,1,0,Mart
31,0.042,0.14,1.33,0.012,0.015,0.26,2.39,1.21,0.015,735.0,236.0,0.008,0.016,0.008,300.0,28.0,1.0,1.96,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,-70.0,6.0,Mart-Db,1,0,Mart
32,0.042,0.14,1.33,0.012,0.015,0.26,2.39,1.21,0.015,735.0,236.0,0.008,0.016,0.008,300.0,28.0,1.0,1.96,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,-60.0,12.0,Mart-Dc,1,0,Mart
33,0.042,0.14,1.33,0.012,0.015,0.26,2.39,1.21,0.015,735.0,236.0,0.008,0.016,0.008,300.0,28.0,1.0,1.96,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,-40.0,49.0,Mart-Dd,1,0,Mart
34,0.042,0.14,1.33,0.012,0.015,0.26,2.39,1.21,0.015,735.0,236.0,0.008,0.016,0.008,300.0,28.0,1.0,1.96,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,-20.0,96.0,Mart-De,1,0,Mart
35,0.042,0.14,1.33,0.012,0.015,0.26,2.39,1.21,0.015,735.0,236.0,0.008,0.016,0.008,300.0,28.0,1.0,1.96,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,0.0,123.0,Mart-Df,1,0,Mart
36,0.042,0.14,1.33,0.012,0.015,0.26,2.39,1.21,0.015,735.0,236.0,0.008,0.016,0.008,300.0,28.0,1.0,1.96,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,20.0,139.0,Mart-Dg,1,0,Mart
37,0.042,0.14,1.33,0.012,0.015,0.26,2.39,1.21,0.015,735.0,236.0,0.008,0.016,0.008,300.0,28.0,1.0,1.96,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,40.0,135.0,Mart-Dh,1,0,Mart
38,0.042,0.14,1.33,0.012,0.015,0.26,2.39,1.21,0.015,735.0,236.0,0.008,0.016,0.008,300.0,28.0,1.0,1.96,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,60.0,148.0,Mart-Di,1,0,Mart
39,0.047,0.42,1.0,0.015,0.016,0.17,2.29,1.04,0.018,695.0,165.0,0.008,0.034,0.008,300.0,28.0,1.0,2.08,150,FCA,690.0,10.0,537.0,620.0,11.0,24.0,-5.873015873015873,66.66666666666667,Mart-E,1,0,Mart
40,0.047,0.42,1.0,0.015,0.016,0.17,2.29,1.04,0.018,695.0,165.0,0.008,0.034,0.008,300.0,28.0,1.0,2.08,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,-70.0,9.0,Mart-Ea,1,0,Mart
41,0.047,0.42,1.0,0.015,0.016,0.17,2.29,1.04,0.018,695.0,165.0,0.008,0.034,0.008,300.0,28.0,1.0,2.08,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,-60.0,9.0,Mart-Eb,1,0,Mart
42,0.047,0.42,1.0,0.015,0.016,0.17,2.29,1.04,0.018,695.0,165.0,0.008,0.034,0.008,300.0,28.0,1.0,2.08,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,-40.0,12.0,Mart-Ec,1,0,Mart
43,0.047,0.42,1.0,0.015,0.016,0.17,2.29,1.04,0.018,695.0,165.0,0.008,0.034,0.008,300.0,28.0,1.0,2.08,150,FCA,690.0,10.0,535.1428571428571,623.0,19.428571428571427,55.0,-20.0,22.0,Mart-Ed,1,0,Mart
