Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Nickel concentration / weight %,Chromium concentration / weight %,Molybdenum concentration / weight %,Vanadium concentration / weight %,Copper concentration / weight %,Cobalt concentration / weight %,Tungsten concentration / weight %,Oxygen concentration / parts per million by weight,Titanium concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Aluminium concentration / parts per million by weight,Boron concentration / parts per million by weight,Niobium concentration / parts per million by weight,Tin concentration / parts per million by weight,Arsenic concentration / parts per million by weight,Antimony concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Yield strength / MPa,Ultimate tensile strength / MPa,Elongation / %,Reduction of Area / %,Charpy temperature / °C,Charpy impact toughness / J,Hardness / kg mm^{-2},50% FATT,Weld ID,Nitrogen residual concentration,Hardness scale,Electrode Positive,Electrode Negative,Group
0.076,0.28,0.64,0.008,0.008,0.0,2.1,0.0,0.0005,0.0,,,492.0,8.0,81.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,,,,,-40.0,28.0,,,EvansLetter-Ao+2Crch2,,,0,0,EvansLetter
0.068,0.28,0.62,0.008,0.007,0.0,0.0,0.0,0.0005,0.5,,,477.0,5.0,73.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,391.0,468.0,29.4,77.0,,,,,EvansLetter-Ao+.5Cu,,,0,0,EvansLetter
0.068,0.28,0.62,0.008,0.007,0.0,0.0,0.0,0.0005,0.5,,,477.0,5.0,73.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,,,,,-63.0,100.0,,,EvansLetter-Ao+.5Cuch1,,,0,0,EvansLetter
0.068,0.28,0.62,0.008,0.007,0.0,0.0,0.0,0.0005,0.5,,,477.0,5.0,73.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,,,,,-86.0,28.0,,,EvansLetter-Ao+.5Cuch2,,,0,0,EvansLetter
0.065,0.3,0.62,0.007,0.009,0.0,0.0,0.0,0.0005,1.03,,,519.0,4.0,72.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,439.0,509.0,31.6,78.9,,,,,EvansLetter-Ao+1Cu,,,0,0,EvansLetter
0.065,0.3,0.62,0.007,0.009,0.0,0.0,0.0,0.0005,1.03,,,519.0,4.0,72.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,,,,,-54.0,100.0,,,EvansLetter-Ao+1Cuch1,,,0,0,EvansLetter
0.065,0.3,0.62,0.007,0.009,0.0,0.0,0.0,0.0005,1.03,,,519.0,4.0,72.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,,,,,-87.0,28.0,,,EvansLetter-Ao+1Cuch2,,,0,0,EvansLetter
0.064,0.32,0.64,0.007,0.008,0.0,0.0,0.0,0.0005,1.6,,,498.0,4.0,60.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,504.0,565.0,26.6,73.0,,,,,EvansLetter-Ao+1.6Cu,,,0,0,EvansLetter
0.064,0.32,0.64,0.007,0.008,0.0,0.0,0.0,0.0005,1.6,,,498.0,4.0,60.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,,,,,-24.0,100.0,,,EvansLetter-Ao+1.6Cuch1,,,0,0,EvansLetter
0.064,0.32,0.64,0.007,0.008,0.0,0.0,0.0,0.0005,1.6,,,498.0,4.0,60.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,,,,,-70.0,28.0,,,EvansLetter-Ao+1.6Cuch2,,,0,0,EvansLetter
0.073,0.35,0.64,0.005,0.004,0.0,0.0,0.0,0.0005,0.0,,,428.0,38.0,77.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,402.0,494.0,33.3,77.5,,,,,EvansLetter-A+,,,0,0,EvansLetter
0.073,0.35,0.64,0.005,0.004,0.0,0.0,0.0,0.0005,0.0,,,428.0,38.0,77.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,,,,,-45.0,100.0,,,EvansLetter-A+ch1,,,0,0,EvansLetter
0.073,0.35,0.64,0.005,0.004,0.0,0.0,0.0,0.0005,0.0,,,428.0,38.0,77.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,,,,,-70.0,28.0,,,EvansLetter-A+ch2,,,0,0,EvansLetter
0.063,0.31,0.65,0.006,0.009,0.88,0.0,0.0,0.0005,0.0,,,472.0,38.0,85.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,423.0,501.0,31.8,77.0,,,,,EvansLetter-A+1Ni,,,0,0,EvansLetter
0.063,0.31,0.65,0.006,0.009,0.88,0.0,0.0,0.0005,0.0,,,472.0,38.0,85.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,,,,,-63.0,100.0,,,EvansLetter-A+1Nich1,,,0,0,EvansLetter
0.063,0.31,0.65,0.006,0.009,0.88,0.0,0.0,0.0005,0.0,,,472.0,38.0,85.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,,,,,-88.0,28.0,,,EvansLetter-A+1Nich2,,,0,0,EvansLetter
0.064,0.27,0.61,0.007,0.007,2.17,0.0,0.0,0.0005,0.0,,,454.0,32.0,91.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,461.0,537.0,28.0,78.9,,,,,EvansLetter-A+2Ni,,,0,0,EvansLetter
0.064,0.27,0.61,0.007,0.007,2.17,0.0,0.0,0.0005,0.0,,,454.0,32.0,91.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,,,,,-83.0,100.0,,,EvansLetter-A+2Nich1,,,0,0,EvansLetter
0.064,0.27,0.61,0.007,0.007,2.17,0.0,0.0,0.0005,0.0,,,454.0,32.0,91.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,,,,,-113.0,28.0,,,EvansLetter-A+2Nich2,,,0,0,EvansLetter
0.067,0.3,0.65,0.007,0.007,3.03,0.0,0.0,0.0005,0.0,,,460.0,36.0,72.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,477.0,557.0,29.4,78.0,,,,,EvansLetter-A+3Ni,,,0,0,EvansLetter
0.067,0.3,0.65,0.007,0.007,3.03,0.0,0.0,0.0005,0.0,,,460.0,36.0,72.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,,,,,-85.0,100.0,,,EvansLetter-A+3Nich1,,,0,0,EvansLetter
0.067,0.3,0.65,0.007,0.007,3.03,0.0,0.0,0.0005,0.0,,,460.0,36.0,72.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,,,,,-114.0,28.0,,,EvansLetter-A+3Nich2,,,0,0,EvansLetter
0.069,0.33,0.68,0.006,0.008,0.0,0.0,0.24,0.0005,0.0,,,395.0,36.0,67.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,436.0,519.0,24.6,78.6,,,,,EvansLetter-A+.25Mo,,,0,0,EvansLetter
0.069,0.33,0.68,0.006,0.008,0.0,0.0,0.24,0.0005,0.0,,,395.0,36.0,67.0,5.0,5.0,5.0,,,,,,1.0,1.0,200,MMA,250.0,14.0,,,,,-58.0,100.0,,,EvansLetter-A+.25Moch1,,,0,0,EvansLetter
