Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Nickel concentration / weight %,Chromium concentration / weight %,Molybdenum concentration / weight %,Vanadium concentration / weight %,Copper concentration / weight %,Cobalt concentration / weight %,Tungsten concentration / weight %,Oxygen concentration / parts per million by weight,Titanium concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Aluminium concentration / parts per million by weight,Boron concentration / parts per million by weight,Niobium concentration / parts per million by weight,Tin concentration / parts per million by weight,Arsenic concentration / parts per million by weight,Antimony concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Yield strength / MPa,Ultimate tensile strength / MPa,Elongation / %,Reduction of Area / %,Charpy temperature / °C,Charpy impact toughness / J,Hardness / kg mm^{-2},50% FATT,Weld ID,Nitrogen residual concentration,Hardness scale,Electrode Positive,Electrode Negative,Group
0.075,0.47,1.31,0.014,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.0,,49.0,190.0,,0.0,,,,450.0,30.0,1.0,2.025,250,SA,200.0,1.0,405.0,497.0,31.6,76.0,,,,,p21-RR82011,,,1,0,p-RR82011
0.075,0.47,1.31,0.014,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.0,,49.0,190.0,,0.0,,,,450.0,30.0,1.0,2.025,250,SA,200.0,1.0,404.0,503.0,32.0,77.0,,,,,p21-RR82011,,,1,0,p-RR82011
0.078,0.44,1.24,0.012,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479.0,,61.0,220.0,,0.0,,,,550.0,30.0,1.0,2.475,250,SA,200.0,1.0,383.0,487.0,32.4,77.0,,,,,p22-RR82011,,,1,0,p-RR82011
0.078,0.44,1.24,0.012,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479.0,,61.0,220.0,,0.0,,,,550.0,30.0,1.0,2.475,250,SA,200.0,1.0,394.0,490.0,31.6,75.0,,,,,p22-RR82011,,,1,0,p-RR82011
0.08,0.36,1.02,0.014,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,513.0,,51.0,230.0,,0.0,,,,650.0,30.0,1.0,2.925,250,SA,200.0,1.0,386.0,483.0,30.8,74.0,,,,,p23-RR82011,,,1,0,p-RR82011
0.08,0.36,1.02,0.014,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,513.0,,51.0,230.0,,0.0,,,,650.0,30.0,1.0,2.925,250,SA,200.0,1.0,378.0,477.0,31.0,75.0,,,,,p23-RR82011,,,1,0,p-RR82011
0.077,0.44,1.61,0.012,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434.0,,105.0,180.0,,0.0,,,,450.0,30.0,1.0,2.025,250,SA,200.0,1.0,456.0,567.0,27.6,73.0,,,,,p24-RR82011,,,1,0,p-RR82011
0.077,0.44,1.61,0.012,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434.0,,105.0,180.0,,0.0,,,,450.0,30.0,1.0,2.025,250,SA,200.0,1.0,455.0,563.0,29.4,73.0,,,,,p24-RR82011,,,1,0,p-RR82011
0.071,0.4,1.55,0.013,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423.0,,81.0,200.0,,0.0,,,,550.0,30.0,1.0,2.475,250,SA,200.0,1.0,439.0,549.0,28.8,71.0,,,,,p25-RR82011,,,1,0,p-RR82011
0.071,0.4,1.55,0.013,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423.0,,81.0,200.0,,0.0,,,,550.0,30.0,1.0,2.475,250,SA,200.0,1.0,442.0,547.0,28.2,73.0,,,,,p25-RR82011,,,1,0,p-RR82011
0.073,0.39,1.55,0.012,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463.0,,72.0,220.0,,0.0,,,,650.0,30.0,1.0,2.925,250,SA,200.0,1.0,435.0,546.0,27.0,73.0,,,,,p26-RR82011,,,1,0,p-RR82011
0.073,0.39,1.55,0.012,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463.0,,72.0,220.0,,0.0,,,,650.0,30.0,1.0,2.925,250,SA,200.0,1.0,441.0,553.0,28.4,72.0,,,,,p26-RR82011,,,1,0,p-RR82011
