,Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Nickel concentration / weight %,Chromium concentration / weight %,Molybdenum concentration / weight %,Vanadium concentration / weight %,Copper concentration / weight %,Oxygen concentration / parts per million by weight,Titanium concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Aluminium concentration / parts per million by weight,Niobium concentration / parts per million by weight,Tin concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Yield strength / MPa,Ultimate tensile strength / MPa,Elongation / %,Reduction of Area / %,Weld ID,Electrode Positive,Electrode Negative,Group
28,0.08,0.28,1.39,0.011,0.015,0.028,0.03,0.17,0.049,0.044,340.0,50.0,54.0,120.0,150.0,41.75,650.0,33.0,1.0,3.3,300,SA,0.0,0.0,562.0,694.0,22.0,55.0,Gar&K-1975-12mm-15aw,1,0,Gar&K
29,0.08,0.28,1.39,0.011,0.015,0.028,0.03,0.17,0.049,0.044,340.0,50.0,54.0,120.0,150.0,41.75,650.0,33.0,1.0,3.3,300,SA,600.0,0.75,642.0,732.0,22.0,58.0,Gar&K-1975-12mm-15ht,1,0,Gar&K
30,0.08,0.29,1.33,0.01,0.017,0.032,0.03,0.43,0.05,0.053,450.0,50.0,95.0,100.0,150.0,41.75,650.0,33.0,1.0,3.3,300,SA,0.0,0.0,562.0,692.0,21.0,59.0,Gar&K-1975-12mm-16aw,1,0,Gar&K
31,0.08,0.29,1.33,0.01,0.017,0.032,0.03,0.43,0.05,0.053,450.0,50.0,95.0,100.0,150.0,41.75,650.0,33.0,1.0,3.3,300,SA,600.0,0.75,701.0,766.0,22.0,52.0,Gar&K-1975-12mm-16ht,1,0,Gar&K
32,0.16,0.13,1.06,0.028,0.013,0.03,0.02,0.005,0.005,0.048,410.0,50.0,67.0,120.0,50.0,41.75,650.0,33.0,1.0,3.3,300,SA,0.0,0.0,355.0,524.0,27.0,50.0,Gar&K-1975-12mm-17aw,1,0,Gar&K
33,0.16,0.13,1.06,0.028,0.013,0.03,0.02,0.005,0.005,0.048,410.0,50.0,67.0,120.0,50.0,41.75,650.0,33.0,1.0,3.3,300,SA,600.0,0.75,330.0,494.0,27.0,51.0,Gar&K-1975-12mm-17ht,1,0,Gar&K
34,0.12,0.26,1.4,0.012,0.014,0.057,0.05,0.009,0.056,0.106,420.0,50.0,138.0,140.0,50.0,41.75,650.0,33.0,1.0,3.3,300,SA,0.0,0.0,522.0,689.0,28.0,60.0,Gar&K-1975-12mm-18aw,1,0,Gar&K
35,0.12,0.26,1.4,0.012,0.014,0.057,0.05,0.009,0.056,0.106,420.0,50.0,138.0,140.0,50.0,41.75,650.0,33.0,1.0,3.3,300,SA,600.0,0.75,581.0,704.0,23.0,60.0,Gar&K-1975-12mm-18ht,1,0,Gar&K
36,0.11,0.26,1.44,0.008,0.012,0.069,0.056,0.01,0.105,0.076,410.0,50.0,145.0,170.0,50.0,41.75,650.0,33.0,1.0,3.3,300,SA,0.0,0.0,577.0,716.0,26.0,61.0,Gar&K-1975-12mm-19aw,1,0,Gar&K
37,0.11,0.26,1.44,0.008,0.012,0.069,0.056,0.01,0.105,0.076,410.0,50.0,145.0,170.0,50.0,41.75,650.0,33.0,1.0,3.3,300,SA,600.0,0.75,599.0,701.0,26.0,64.0,Gar&K-1975-12mm-19ht,1,0,Gar&K
38,0.16,0.12,1.04,0.027,0.012,0.027,0.02,0.15,0.005,0.041,420.0,50.0,67.0,90.0,50.0,41.75,650.0,33.0,1.0,3.3,300,SA,0.0,0.0,405.0,577.0,20.0,32.0,Gar&K-1975-12mm-20aw,1,0,Gar&K
39,0.16,0.12,1.04,0.027,0.012,0.027,0.02,0.15,0.005,0.041,420.0,50.0,67.0,90.0,50.0,41.75,650.0,33.0,1.0,3.3,300,SA,600.0,0.75,405.0,562.0,26.0,60.0,Gar&K-1975-12mm-20ht,1,0,Gar&K
40,0.1,0.35,1.54,0.009,0.016,0.06,0.049,0.18,0.057,0.11,420.0,50.0,138.0,160.0,50.0,41.75,650.0,33.0,1.0,3.3,300,SA,0.0,0.0,556.0,704.0,25.0,58.0,Gar&K-1975-12mm-21aw,1,0,Gar&K
41,0.1,0.35,1.54,0.009,0.016,0.06,0.049,0.18,0.057,0.11,420.0,50.0,138.0,160.0,50.0,41.75,650.0,33.0,1.0,3.3,300,SA,600.0,0.75,593.0,692.0,26.0,65.0,Gar&K-1975-12mm-21ht,1,0,Gar&K
42,0.11,0.27,1.47,0.008,0.012,0.07,0.054,0.22,0.095,0.072,480.0,50.0,139.0,220.0,50.0,41.75,650.0,33.0,1.0,3.3,300,SA,0.0,0.0,556.0,716.0,25.0,63.0,Gar&K-1975-12mm-22aw,1,0,Gar&K
43,0.11,0.27,1.47,0.008,0.012,0.07,0.054,0.22,0.095,0.072,480.0,50.0,139.0,220.0,50.0,41.75,650.0,33.0,1.0,3.3,300,SA,600.0,0.75,648.0,735.0,25.0,65.0,Gar&K-1975-12mm-22ht,1,0,Gar&K
44,0.16,0.12,1.0,0.032,0.014,0.028,0.02,0.39,0.005,0.043,450.0,50.0,62.0,120.0,50.0,41.75,650.0,33.0,1.0,3.3,300,SA,0.0,0.0,599.0,670.0,25.0,55.0,Gar&K-1975-12mm-23aw,1,0,Gar&K
45,0.16,0.12,1.0,0.032,0.014,0.028,0.02,0.39,0.005,0.043,450.0,50.0,62.0,120.0,50.0,41.75,650.0,33.0,1.0,3.3,300,SA,600.0,0.75,569.0,624.0,22.0,54.0,Gar&K-1975-12mm-23ht,1,0,Gar&K
46,0.12,0.33,1.47,0.014,0.014,0.06,0.05,0.39,0.055,0.11,400.0,50.0,136.0,150.0,50.0,41.75,650.0,33.0,1.0,3.3,300,SA,0.0,0.0,574.0,744.0,24.0,55.0,Gar&K-1975-12mm-24aw,1,0,Gar&K
47,0.12,0.33,1.47,0.014,0.014,0.06,0.05,0.39,0.055,0.11,400.0,50.0,136.0,150.0,50.0,41.75,650.0,33.0,1.0,3.3,300,SA,600.0,0.75,613.0,747.0,24.0,64.0,Gar&K-1975-12mm-24ht,1,0,Gar&K
48,0.11,0.25,1.33,0.008,0.011,0.067,0.053,0.44,0.097,0.072,440.0,50.0,145.0,180.0,50.0,41.75,650.0,33.0,1.0,3.3,300,SA,0.0,0.0,559.0,735.0,25.0,62.0,Gar&K-1975-12mm-25aw,1,0,Gar&K
49,0.11,0.25,1.33,0.008,0.011,0.067,0.053,0.44,0.097,0.072,440.0,50.0,145.0,180.0,50.0,41.75,650.0,33.0,1.0,3.3,300,SA,600.0,0.75,662.0,740.0,24.0,60.0,Gar&K-1975-12mm-25ht,1,0,Gar&K
50,0.11,0.38,1.5,0.029,0.02088,0.05904,0.05212,0.0,0.005,0.09023999999999999,421.6666666666667,0.0,106.33333333333333,161.6,0.0,41.75,650.0,33.0,1.0,3.3,300,SA,600.0,0.75,524.0,596.0,29.0,64.0,Gar&K-1975-12mmE-26aw,1,0,Gar&K
51,0.11,0.37,1.52,0.03,0.02088,0.05904,0.05212,0.0,0.05,0.09023999999999999,421.6666666666667,0.0,106.33333333333333,161.6,0.0,41.75,650.0,33.0,1.0,3.3,300,SA,600.0,0.75,571.0,644.0,24.807692307692307,59.57692307692308,Gar&K-1975-12mmE-27aw,1,0,Gar&K
52,0.11,0.38,1.55,0.029,0.02088,0.05904,0.05212,0.0,0.09,0.09023999999999999,421.6666666666667,0.0,106.33333333333333,161.6,0.0,41.75,650.0,33.0,1.0,3.3,300,SA,600.0,0.75,631.0,689.0,24.807692307692307,59.57692307692308,Gar&K-1975-12mmE-28aw,1,0,Gar&K
53,0.14,0.38,1.65,0.028,0.02088,0.05904,0.05212,0.5,0.005,0.09023999999999999,421.6666666666667,0.0,106.33333333333333,161.6,0.0,41.75,650.0,33.0,1.0,3.3,300,SA,600.0,0.75,644.0,714.0,34.0,63.0,Gar&K-1975-12mmE-29aw,1,0,Gar&K
54,0.1,0.38,1.58,0.028,0.02088,0.05904,0.05212,0.5,0.06,0.09023999999999999,421.6666666666667,0.0,106.33333333333333,161.6,0.0,41.75,650.0,33.0,1.0,3.3,300,SA,600.0,0.75,663.0,718.0,24.807692307692307,59.57692307692308,Gar&K-1975-12mmE-30aw,1,0,Gar&K
55,0.1,0.39,1.68,0.027,0.02088,0.05904,0.05212,0.5,0.08,0.09023999999999999,421.6666666666667,0.0,106.33333333333333,161.6,0.0,41.75,650.0,33.0,1.0,3.3,300,SA,600.0,0.75,669.0,735.0,24.807692307692307,59.57692307692308,Gar&K-1975-12mmE-31aw,1,0,Gar&K
