,Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Molybdenum concentration / weight %,Vanadium concentration / weight %,Copper concentration / weight %,Oxygen concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Yield strength / MPa,Ultimate tensile strength / MPa,Elongation / %,Reduction of Area / %,Charpy temperature / °C,Charpy impact toughness / J,Hardness / kg mm^{-2},Weld ID,Electrode Positive,Electrode Negative,Group
68,0.1,0.24,1.91,0.016,0.016,0.02,0.01,0.05,228.0,74.0,625.0,72.24,1.0,4.4,200,TSA,0.0,0.0,434.0,541.9375,30.375,67.5,-20.0,91.0,162.375,Pat-1981-S6/BX400,1,0,Pat
69,0.1,0.24,1.91,0.016,0.016,0.02,0.01,0.05,228.0,74.0,625.0,72.24,1.0,4.4,200,TSA,0.0,0.0,434.0,541.9375,30.375,67.5,0.0,122.0,162.375,Pat-1981-S6/BX400,1,0,Pat
70,0.096,0.13,0.73,0.018,0.022,0.43,0.01,0.14,373.0,81.0,625.0,72.24,1.0,4.4,200,TSA,0.0,0.0,353.0,491.0,32.0,67.0,-30.952380952380953,78.47619047619048,157.0,Pat-1981-S2Mo/BX400,1,0,Pat
71,0.096,0.13,0.73,0.018,0.022,0.43,0.01,0.14,373.0,81.0,625.0,72.24,1.0,4.4,200,TSA,0.0,0.0,434.0,541.9375,30.375,67.5,-60.0,14.0,162.375,Pat-1981-S2Mo/BX400,1,0,Pat
72,0.096,0.13,0.73,0.018,0.022,0.43,0.01,0.14,373.0,81.0,625.0,72.24,1.0,4.4,200,TSA,0.0,0.0,434.0,541.9375,30.375,67.5,-40.0,72.0,162.375,Pat-1981-S2Mo/BX400,1,0,Pat
73,0.096,0.13,0.73,0.018,0.022,0.43,0.01,0.14,373.0,81.0,625.0,72.24,1.0,4.4,200,TSA,0.0,0.0,434.0,541.9375,30.375,67.5,-20.0,111.0,162.375,Pat-1981-S2Mo/BX400,1,0,Pat
74,0.096,0.13,0.73,0.018,0.022,0.43,0.01,0.14,373.0,81.0,625.0,72.24,1.0,4.4,200,TSA,0.0,0.0,434.0,541.9375,30.375,67.5,0.0,135.0,162.375,Pat-1981-S2Mo/BX400,1,0,Pat
75,0.12,0.27,1.46,0.014,0.026,0.48,0.01,0.3,365.0,77.0,625.0,72.24,1.0,4.4,200,TSA,0.0,0.0,689.0,689.0,34.0,69.0,-30.952380952380953,78.47619047619048,203.0,Pat-1981-S4Mo/BX400,1,0,Pat
76,0.12,0.27,1.46,0.014,0.026,0.48,0.01,0.3,365.0,77.0,625.0,72.24,1.0,4.4,200,TSA,0.0,0.0,434.0,541.9375,30.375,67.5,-60.0,41.0,162.375,Pat-1981-S4Mo/BX400,1,0,Pat
77,0.12,0.27,1.46,0.014,0.026,0.48,0.01,0.3,365.0,77.0,625.0,72.24,1.0,4.4,200,TSA,0.0,0.0,434.0,541.9375,30.375,67.5,-20.0,78.0,162.375,Pat-1981-S4Mo/BX400,1,0,Pat
78,0.12,0.27,1.46,0.014,0.026,0.48,0.01,0.3,365.0,77.0,625.0,72.24,1.0,4.4,200,TSA,0.0,0.0,434.0,541.9375,30.375,67.5,0.0,113.0,162.375,Pat-1981-S4Mo/BX400,1,0,Pat
